frame,direction,steering,steering_smooth,stable_direction
410,RIGHT TURN,1.0,0.958244675983326,RIGHT TURN
411,RIGHT TURN,1.0,0.9624202083849933,RIGHT TURN
412,RIGHT TURN,1.0,0.966178187546494,RIGHT TURN
413,RIGHT TURN,1.0,0.9695603687918446,RIGHT TURN
414,RIGHT TURN,1.0,0.9726043319126602,RIGHT TURN
415,RIGHT TURN,1.0,0.9753438987213942,RIGHT TURN
416,RIGHT TURN,1.0,0.9778095088492548,RIGHT TURN
417,RIGHT TURN,1.0,0.9800285579643293,RIGHT TURN
418,RIGHT TURN,1.0,0.9820257021678964,RIGHT TURN
419,RIGHT TURN,1.0,0.9838231319511068,RIGHT TURN
420,RIGHT TURN,0.8,0.9654408187559962,RIGHT TURN
421,RIGHT TURN,0.6400000000000001,0.9328967368803966,RIGHT TURN
